阈值 t_1 h_1 t_2 h_2 t_3 h_3                                                                                                                      
1 71.00% 0.30% 72.00% 1.20% 79.00% 1.50%                                                                                                                      
2 78.00% 0.50% 73.00% 2.30% 80.00% 2.20%                                                                                                                      
3 80.00% 1.10% 76.00% 3.30% 81.00% 3.00%                                                                                                                      
4 84.00% 4.10% 77.00% 3.80% 84.00% 3.10%                                                                                                                      
5 86.00% 4.70% 82.00% 3.90% 85.00% 3.40%                                                                                                                      
6 87.00% 4.80% 83.00% 5.00% 86.00% 3.80%                                                                                                                      
7 90.00% 5.40% 84.00% 5.30% 89.00% 4.40%                                                                                                                      
8 91.00% 5.60% 88.00% 7.30% 90.00% 5.90%                                                                                                                      
9 94.00% 6.80% 91.00% 7.70% 97.00% 6.50%                                                                                                                      
10 97.00% 7.30% 92.00% 7.90% 99.00% 7.60%                                                                                                                      
                                                                                                                            
阈值 t_19 h_19 t_20 h_20 t_21 h_21                                                                                                                      
1 77.00% 0.80% 70.00% 3.40% 77.00% 0.60%                                                                                                                      
2 78.00% 1.30% 71.00% 4.60% 79.00% 0.70%                                                                                                                      
3 82.00% 1.40% 76.00% 4.90% 80.00% 1.80%                                                                                                                      
4 86.00% 1.60% 77.00% 5.30% 81.00% 2.20%                                                                                                                      
5 90.00% 2.20% 85.00% 5.40% 89.00% 2.80%                                                                                                                      
6 91.00% 2.30% 87.00% 7.10% 91.00% 3.10%                                                                                                                      
7 92.00% 4.70% 89.00% 7.30% 92.00% 3.40%                                                                                                                      
8 93.00% 4.80% 90.00% 7.50% 93.00% 3.50%                                                                                                                      
9 96.00% 5.60% 91.00% 7.80% 94.00% 3.60%                                                                                                                      
10 97.00% 5.80% 92.00% 8.40% 97.00% 5.30%                                                                                                                      
                                                                                                                            
阈值 t_22 h_22 t_23 h_23 t_24 h_24                                                                                                                      
1 70.00% 1.60% 81.00% 1.60% 75.00% 0.90%                                                                                                                      
2 71.00% 1.80% 83.00% 2.40% 76.00% 1.50%                                                                                                                      
3 76.00% 4.40% 84.00% 2.70% 77.00% 1.60%                                                                                                                      
4 79.00% 4.90% 86.00% 3.60% 80.00% 1.80%                                                                                                                      
5 81.00% 5.00% 87.00% 4.00% 85.00% 2.40%                                                                                                                      
6 82.00% 6.60% 88.00% 5.10% 86.00% 2.50%                                                                                                                      
7 87.00% 6.70% 89.00% 5.90% 89.00% 2.60%                                                                                                                      
8 89.00% 6.80% 90.00% 6.30% 91.00% 3.30%                                                                                                                      
9 90.00% 7.70% 95.00% 6.60% 94.00% 3.90%                                                                                                                      
10 95.00% 8.10% 99.00% 7.30% 96.00% 5.20%                                                                                                                      
                                                                                                                            
阈值 t_25 h_25 t_26 h_26 t_27 h_27                                                                                                                      
1 70.00% 1.50% 73.00% 0.30% 72.00% 1.50%                                                                                                                      
2 71.00% 2.40% 76.00% 0.90% 79.00% 2.40%                                                                                                                      
3 77.00% 2.50% 77.00% 2.40% 80.00% 2.90%                                                                                                                      
4 81.00% 2.70% 80.00% 2.50% 81.00% 3.10%                                                                                                                      
5 82.00% 3.50% 84.00% 3.30% 84.00% 3.90%                                                                                                                      
6 84.00% 3.90% 85.00% 3.70% 86.00% 5.40%                                                                                                                      
7 85.00% 4.90% 86.00% 4.20% 87.00% 5.90%                                                                                                                      
8 86.00% 6.00% 91.00% 4.60% 91.00% 6.00%                                                                                                                      
9 87.00% 8.50% 93.00% 6.90% 92.00% 6.20%                                                                                                                      
10 88.00% 8.80% 97.00% 7.40% 94.00% 7.50%                                                                                                                      
                                                                                                                            
阈值 t_28 h_28 t_29 h_29 t_30 h_30                                                                                                                      
1 80.00% 1.30% 75.00% 1.40% 71.00% 1.30%                                                                                                                      
2 82.00% 2.80% 79.00% 1.50% 74.00% 1.70%                                                                                                                      
3 83.00% 3.00% 81.00% 3.00% 77.00% 2.10%                                                                                                                      
4 86.00% 3.40% 85.00% 3.50% 79.00% 2.50%                                                                                                                      
5 89.00% 4.30% 86.00% 3.60% 80.00% 3.40%                                                                                                                      
6 94.00% 5.60% 87.00% 4.00% 82.00% 4.00%                                                                                                                      
7 95.00% 5.80% 90.00% 4.30% 84.00% 4.20%                                                                                                                      
8 96.00% 6.60% 92.00% 5.30% 85.00% 7.30%                                                                                                                      
9 98.00% 6.90% 96.00% 5.60% 93.00% 8.60%                                                                                                                      
10 99.00% 7.10% 97.00% 5.80% 94.00% 8.80%                                                                                                                      
                                                                                                                            
阈值 t_31 h_31 t_32 h_32 t_33 h_33                                                                                                                      
1 75.00% 2.20% 70.00% 1.20% 80.00% 0.90%                                                                                                                      
2 81.00% 3.40% 74.00% 2.20% 81.00% 1.80%                                                                                                                      
3 85.00% 3.50% 77.00% 2.50% 89.00% 1.90%                                                                                                                      
4 87.00% 3.60% 79.00% 3.20% 90.00% 2.00%                                                                                                                      
5 90.00% 3.70% 81.00% 4.30% 91.00% 2.20%                                                                                                                      
6 92.00% 3.90% 88.00% 4.80% 93.00% 2.40%                                                                                                                      
7 93.00% 4.60% 90.00% 5.40% 94.00% 5.20%                                                                                                                      
8 94.00% 5.50% 92.00% 6.40% 96.00% 5.40%                                                                                                                      
9 95.00% 5.80% 94.00% 7.00% 98.00% 5.70%                                                                                                                      
10 96.00% 6.00% 95.00% 8.10% 99.00% 7.40%                                                                                                                      
                                                                                                                            
阈值 t_34 h_34 t_35 h_35 t_36 h_36                                                                                                                      
1 76.00% 1.30% 70.00% 0.90% 70.00% 0.50%                                                                                                                      
2 77.00% 1.70% 75.00% 1.00% 71.00% 1.70%                                                                                                                      
3 79.00% 1.80% 79.00% 1.60% 73.00% 2.20%                                                                                                                      
4 80.00% 2.50% 80.00% 1.90% 81.00% 2.70%                                                                                                                      
5 81.00% 2.80% 82.00% 2.50% 84.00% 4.50%                                                                                                                      
6 84.00% 4.00% 83.00% 5.30% 88.00% 5.10%                                                                                                                      
7 91.00% 4.40% 88.00% 6.60% 91.00% 5.90%                                                                                                                      
8 92.00% 4.60% 91.00% 7.30% 92.00% 6.70%                                                                                                                      
9 93.00% 5.30% 92.00% 7.90% 95.00% 6.80%                                                                                                                      
10 96.00% 5.70% 93.00% 8.20% 97.00% 7.20%                                                                                                                      
                                                                                                                            
阈值 t_37 h_37 t_38 h_38 t_39 h_39                                                                                                                      
1 74.00% 1.50% 80.00% 1.20% 75.00% 0.80%                                                                                                                      
2 75.00% 1.80% 82.00% 1.90% 81.00% 1.10%                                                                                                                      
3 77.00% 1.90% 84.00% 2.20% 84.00% 3.10%                                                                                                                      
4 83.00% 3.40% 87.00% 2.40% 86.00% 4.10%                                                                                                                      
5 84.00% 5.00% 89.00% 3.20% 90.00% 4.20%                                                                                                                      
6 85.00% 5.70% 90.00% 3.40% 91.00% 5.10%                                                                                                                      
7 90.00% 6.30% 91.00% 5.10% 92.00% 5.20%                                                                                                                      
8 93.00% 7.30% 94.00% 5.40% 95.00% 5.50%                                                                                                                      
9 94.00% 8.20% 96.00% 7.60% 96.00% 5.70%                                                                                                                      
10 95.00% 8.50% 99.00% 7.70% 97.00% 5.80%                                                                                                                      
                                                                                                                            
阈值 t_40 h_40 t_41 h_41 t_42 h_42                                                                                                                      
1 71.00% 1.80% 81.00% 1.00% 70.00% 1.30%                                                                                                                      
2 72.00% 2.40% 83.00% 1.70% 71.00% 2.00%                                                                                                                      
3 78.00% 3.10% 86.00% 2.90% 74.00% 2.10%                                                                                                                      
4 80.00% 3.70% 87.00% 3.90% 75.00% 5.30%                                                                                                                      
5 81.00% 3.80% 90.00% 4.10% 82.00% 6.50%                                                                                                                      
6 83.00% 6.00% 91.00% 4.20% 83.00% 7.30%                                                                                                                      
7 86.00% 6.20% 92.00% 5.10% 85.00% 8.40%                                                                                                                      
8 90.00% 6.90% 93.00% 5.40% 93.00% 8.60%                                                                                                                      
9 94.00% 7.70% 94.00% 5.90% 94.00% 8.70%                                                                                                                      
10 95.00% 8.80% 95.00% 6.00% 95.00% 8.80%                                                                                                                      
                                                                                                                            
阈值 t_43 h_43 t_44 h_44 t_45 h_45                                                                                                                      
1 80.00% 1.50% 77.00% 0.60% 70.00% 1.00%                                                                                                                      
2 81.00% 1.90% 79.00% 0.90% 71.00% 1.40%                                                                                                                      
3 82.00% 4.50% 82.00% 1.10% 72.00% 2.10%                                                                                                                      
4 88.00% 5.20% 83.00% 2.00% 74.00% 3.10%                                                                                                                      
5 89.00% 5.40% 85.00% 2.60% 80.00% 4.00%                                                                                                                      
6 90.00% 5.70% 87.00% 3.20% 87.00% 4.10%                                                                                                                      
7 91.00% 6.10% 88.00% 3.40% 88.00% 4.20%                                                                                                                      
8 92.00% 6.40% 91.00% 4.20% 91.00% 6.70%                                                                                                                      
9 94.00% 6.70% 92.00% 4.80% 93.00% 7.60%                                                                                                                      
10 97.00% 6.90% 97.00% 5.50% 95.00% 8.00%                                                                                                                      
                                                                                                                            
阈值 t_46 h_46 t_47 h_47 t_48 h_48                                                                                                                      
1 71.00% 1.10% 72.00% 1.70% 79.00% 2.80%                                                                                                                      
2 72.00% 2.30% 73.00% 2.30% 81.00% 3.10%                                                                                                                      
3 73.00% 2.70% 74.00% 3.20% 83.00% 3.20%                                                                                                                      
4 76.00% 3.20% 76.00% 3.60% 87.00% 3.60%                                                                                                                      
5 79.00% 4.40% 78.00% 4.10% 88.00% 4.00%                                                                                                                      
6 81.00% 5.30% 80.00% 5.00% 90.00% 4.20%                                                                                                                      
7 84.00% 6.00% 81.00% 6.00% 91.00% 4.50%                                                                                                                      
8 92.00% 6.30% 82.00% 6.80% 92.00% 4.90%                                                                                                                      
9 93.00% 6.50% 92.00% 7.60% 97.00% 6.30%                                                                                                                      
10 94.00% 7.00% 95.00% 8.50% 98.00% 6.50%                                                                                                                      
                                                                                                                            
阈值 t_49 h_49                                                                                                                          
1 82.00% 0.50%                                                                                                                          
2 83.00% 0.60%                                                                                                                          
3 85.00% 1.00%                                                                                                                          
4 86.00% 1.90%                                                                                                                          
5 89.00% 2.10%                                                                                                                          
6 90.00% 4.10%                                                                                                                          
7 92.00% 4.20%                                                                                                                          
8 93.00% 4.40%                                                                                                                          
9 94.00% 4.90%                                                                                                                          
10 95.00% 5.20%                                                                                                                          
                                                                                                                            
阈值 t_50 h_50 t_51 h_51 t_52 h_52                                                                                                                      
1 70.00% 1.60% 77.00% 1.80% 70.00% 2.00%                                                                                                                      
2 71.00% 2.00% 78.00% 1.90% 77.00% 2.60%                                                                                                                      
3 73.00% 2.80% 81.00% 2.60% 78.00% 2.70%                                                                                                                      
4 77.00% 4.20% 82.00% 2.70% 80.00% 3.10%                                                                                                                      
5 81.00% 4.40% 84.00% 2.80% 81.00% 4.80%                                                                                                                      
6 83.00% 5.10% 87.00% 3.50% 83.00% 5.30%                                                                                                                      
7 86.00% 5.20% 90.00% 3.60% 87.00% 5.80%                                                                                                                      
8 89.00% 5.60% 93.00% 3.90% 89.00% 6.10%                                                                                                                      
9 92.00% 8.00% 94.00% 4.70% 92.00% 6.50%                                                                                                                      
10 95.00% 8.30% 96.00% 5.10% 95.00% 7.60%                                                                                                                      
                                                                                                                            
阈值 t_53 h_53 t_54 h_54 t_55 h_55                                                                                                                      
1 80.00% 1.10% 75.00% 0.30% 75.00% 0.80%                                                                                                                      
2 82.00% 2.40% 78.00% 0.40% 78.00% 1.60%                                                                                                                      
3 85.00% 3.10% 79.00% 1.00% 80.00% 2.70%                                                                                                                      
4 88.00% 3.70% 81.00% 1.10% 81.00% 3.70%                                                                                                                      
5 92.00% 4.50% 85.00% 1.30% 83.00% 3.90%                                                                                                                      
6 93.00% 4.60% 88.00% 3.50% 84.00% 4.90%                                                                                                                      
7 94.00% 6.40% 91.00% 4.60% 86.00% 5.00%                                                                                                                      
8 95.00% 7.00% 92.00% 5.10% 88.00% 5.20%                                                                                                                      
9 96.00% 7.10% 94.00% 5.30% 91.00% 5.80%                                                                                                                      
10 97.00% 7.20% 97.00% 5.40% 92.00% 8.80%                                                                                                                      
                                                                                                                            
阈值 t_56 h_56 t_57 h_57 t_58 h_58                                                                                                                      
1 73.00% 0.70% 72.00% 1.50% 81.00% 1.90%                                                                                                                      
2 76.00% 0.80% 73.00% 1.70% 84.00% 2.70%                                                                                                                      
3 79.00% 0.90% 75.00% 2.80% 86.00% 2.80%                                                                                                                      
4 80.00% 1.20% 77.00% 3.00% 88.00% 2.90%                                                                                                                      
5 84.00% 1.40% 82.00% 4.40% 89.00% 4.10%                                                                                                                      
6 85.00% 2.50% 86.00% 4.60% 90.00% 5.30%                                                                                                                      
7 91.00% 2.90% 87.00% 5.30% 92.00% 5.40%                                                                                                                      
8 93.00% 4.90% 90.00% 6.80% 93.00% 6.00%                                                                                                                      
9 96.00% 5.50% 91.00% 8.10% 96.00% 7.30%                                                                                                                      
10 97.00% 6.40% 95.00% 8.50% 99.00% 7.50%                                                                                                                      
                                                                                                                            
阈值 t_59 h_59 t_60 h_60 t_61 h_61                                                                                                                      
1 79.00% 1.00% 70.00% 2.10% 76.00% 0.70%                                                                                                                      
2 81.00% 1.20% 73.00% 3.00% 80.00% 1.20%                                                                                                                      
3 82.00% 1.50% 77.00% 3.10% 81.00% 1.50%                                                                                                                      
4 85.00% 1.60% 78.00% 3.50% 82.00% 1.80%                                                                                                                      
5 87.00% 1.80% 83.00% 5.10% 87.00% 2.00%                                                                                                                      
6 89.00% 2.30% 85.00% 6.10% 88.00% 2.10%                                                                                                                      
7 92.00% 2.90% 88.00% 6.60% 89.00% 3.20%                                                                                                                      
8 93.00% 3.20% 89.00% 7.50% 90.00% 4.50%                                                                                                                      
9 95.00% 3.40% 90.00% 7.70% 92.00% 4.80%                                                                                                                      
10 96.00% 5.80% 95.00% 8.10% 96.00% 5.60%                                                                                                                      
                                                                                                                            
阈值 t_62 h_62 t_63 h_63 t_64 h_64                                                                                                                      
1 70.00% 0.80% 84.00% 1.70% 75.00% 0.50%                                                                                                                      
2 73.00% 0.90% 85.00% 2.60% 76.00% 1.20%                                                                                                                      
3 75.00% 2.40% 86.00% 3.00% 77.00% 1.80%                                                                                                                      
4 76.00% 2.60% 87.00% 3.70% 83.00% 1.90%                                                                                                                      
5 81.00% 2.80% 88.00% 3.80% 85.00% 3.30%                                                                                                                      
6 82.00% 3.90% 93.00% 3.90% 86.00% 3.40%                                                                                                                      
7 83.00% 5.20% 94.00% 4.30% 87.00% 3.90%                                                                                                                      
8 86.00% 6.10% 95.00% 5.50% 90.00% 4.50%                                                                                                                      
9 92.00% 7.00% 97.00% 6.30% 92.00% 4.80%                                                                                                                      
10 93.00% 7.10% 99.00% 6.50% 93.00% 5.30%                                                                                                                      
                                                                                                                            
阈值 t_65 h_65 t_66 h_66 t_67 h_67                                                                                                                      
1 70.00% 1.20% 70.00% 0.70% 75.00% 1.40%                                                                                                                      
2 73.00% 1.30% 72.00% 1.80% 76.00% 3.30%                                                                                                                      
3 74.00% 3.00% 78.00% 3.80% 77.00% 3.50%                                                                                                                      
4 77.00% 4.10% 79.00% 4.10% 78.00% 4.60%                                                                                                                      
5 81.00% 4.20% 81.00% 4.20% 80.00% 4.70%                                                                                                                      
6 84.00% 4.40% 87.00% 4.90% 81.00% 5.80%                                                                                                                      
7 89.00% 5.90% 88.00% 5.80% 83.00% 6.20%                                                                                                                      
8 91.00% 7.20% 89.00% 6.50% 87.00% 7.30%                                                                                                                      
9 93.00% 7.30% 93.00% 6.70% 91.00% 7.60%                                                                                                                      
10 94.00% 8.10% 96.00% 6.90% 93.00% 8.50%                                                                                                                      
                                                                                                                            
阈值 t_68 h_68 t_69 h_69 t_70 h_70                                                                                                                      
1 80.00% 0.90% 77.00% 0.50% 70.00% 0.90%                                                                                                                      
2 82.00% 1.00% 79.00% 1.10% 71.00% 1.40%                                                                                                                      
3 83.00% 1.10% 80.00% 1.30% 72.00% 1.50%                                                                                                                      
4 85.00% 1.60% 81.00% 2.50% 74.00% 3.80%                                                                                                                      
5 87.00% 1.80% 82.00% 2.80% 78.00% 4.00%                                                                                                                      
6 88.00% 1.90% 83.00% 3.30% 85.00% 4.40%                                                                                                                      
7 89.00% 2.10% 90.00% 3.50% 86.00% 4.50%                                                                                                                      
8 93.00% 4.10% 91.00% 4.00% 89.00% 5.50%                                                                                                                      
9 96.00% 5.10% 93.00% 5.20% 90.00% 6.50%                                                                                                                      
10 97.00% 5.50% 95.00% 5.40% 93.00% 8.30%                                                                                                                      
                                                                                                                            
阈值 t_71 h_71 t_72 h_72 t_73 h_73                                                                                                                      
1 75.00% 1.20% 72.00% 1.90% 82.00% 0.80%                                                                                                                      
2 77.00% 1.80% 73.00% 2.70% 84.00% 1.00%                                                                                                                      
3 78.00% 2.00% 79.00% 3.60% 85.00% 1.70%                                                                                                                      
4 79.00% 2.40% 80.00% 4.70% 89.00% 2.70%                                                                                                                      
5 82.00% 3.30% 84.00% 5.90% 90.00% 4.40%                                                                                                                      
6 83.00% 3.90% 87.00% 6.30% 91.00% 4.50%                                                                                                                      
7 84.00% 4.00% 90.00% 6.90% 92.00% 4.70%                                                                                                                      
8 90.00% 4.40% 91.00% 7.70% 94.00% 5.10%                                                                                                                      
9 95.00% 4.70% 92.00% 8.00% 97.00% 5.40%                                                                                                                      
10 97.00% 5.40% 94.00% 8.60% 99.00% 6.80%                                                                                                                      
                                                                                                                            
阈值 t_74 h_74 t_75 h_75 t_76 h_76                                                                                                                      
1 75.00% 0.30% 71.00% 1.10% 70.00% 0.70%                                                                                                                      
2 76.00% 1.50% 73.00% 1.40% 73.00% 2.50%                                                                                                                      
3 81.00% 1.70% 74.00% 2.70% 78.00% 2.70%                                                                                                                      
4 84.00% 2.00% 77.00% 3.10% 79.00% 3.00%                                                                                                                      
5 86.00% 3.00% 82.00% 3.60% 82.00% 3.10%                                                                                                                      
6 87.00% 3.30% 84.00% 5.30% 87.00% 3.20%                                                                                                                      
7 89.00% 3.50% 87.00% 5.50% 88.00% 4.40%                                                                                                                      
8 91.00% 4.60% 90.00% 5.80% 90.00% 4.80%                                                                                                                      
9 92.00% 4.90% 91.00% 7.60% 94.00% 6.00%                                                                                                                      
10 93.00% 5.90% 95.00% 7.90% 96.00% 6.70%                                                                                                                      
                                                                                                                            
阈值 t_77 h_77 t_78 h_78 t_79 h_79                                                                                                                      
1 73.00% 2.00% 80.00% 1.10% 75.00% 0.50%                                                                                                                      
2 74.00% 2.70% 82.00% 1.80% 77.00% 0.60%                                                                                                                      
3 75.00% 3.00% 83.00% 2.40% 78.00% 0.90%                                                                                                                      
4 78.00% 3.20% 84.00% 2.50% 79.00% 3.00%                                                                                                                      
5 83.00% 3.40% 90.00% 4.50% 81.00% 3.60%                                                                                                                      
6 84.00% 4.10% 91.00% 5.70% 82.00% 4.10%                                                                                                                      
7 88.00% 5.70% 92.00% 6.30% 84.00% 4.50%                                                                                                                      
8 89.00% 5.90% 94.00% 6.40% 87.00% 4.70%                                                                                                                      
9 92.00% 6.80% 96.00% 6.50% 93.00% 4.80%                                                                                                                      
10 95.00% 7.30% 98.00% 7.10% 94.00% 5.00%                                                                                                                      
                                                                                                                            
阈值 t_80 h_80 t_81 h_81 t_82 h_82                                                                                                                      
1 71.00% 1.50% 78.00% 0.60% 72.00% 1.20%                                                                                                                      
2 72.00% 2.60% 79.00% 0.80% 73.00% 2.70%                                                                                                                      
3 75.00% 3.00% 83.00% 1.10% 76.00% 3.20%                                                                                                                      
4 77.00% 3.70% 86.00% 1.70% 79.00% 4.40%                                                                                                                      
5 80.00% 4.90% 87.00% 2.20% 82.00% 5.00%                                                                                                                      
6 84.00% 5.10% 89.00% 3.30% 83.00% 5.30%                                                                                                                      
7 85.00% 5.60% 91.00% 3.40% 87.00% 5.40%                                                                                                                      
8 86.00% 6.20% 93.00% 4.80% 88.00% 7.40%                                                                                                                      
9 90.00% 8.00% 95.00% 5.60% 90.00% 8.10%                                                                                                                      
10 91.00% 8.10% 97.00% 5.70% 95.00% 8.70%                                                                                                                      
                                                                                                                            
阈值 t_83 h_83 t_84 h_84 t_85 h_85                                                                                                                      
1 83.00% 1.00% 76.00% 0.60% 70.00% 0.80%                                                                                                                      
2 84.00% 1.40% 77.00% 1.50% 72.00% 1.70%                                                                                                                      
3 86.00% 1.50% 78.00% 2.10% 75.00% 2.10%                                                                                                                      
4 90.00% 4.00% 86.00% 3.10% 76.00% 5.20%                                                                                                                      
5 92.00% 4.20% 87.00% 3.40% 80.00% 5.30%                                                                                                                      
6 93.00% 4.30% 88.00% 3.50% 81.00% 5.60%                                                                                                                      
7 95.00% 4.90% 89.00% 4.80% 83.00% 6.40%                                                                                                                      
8 96.00% 5.30% 91.00% 5.10% 85.00% 8.10%                                                                                                                      
9 97.00% 6.60% 92.00% 5.20% 90.00% 8.30%                                                                                                                      
10 98.00% 7.60% 95.00% 5.90% 94.00% 8.40%                                                                                                                      
                                                                                                                            
阈值 t_86 h_86 t_87 h_87 t_88 h_88                                                                                                                      
1 73.00% 0.60% 73.00% 1.80% 79.00% 1.40%                                                                                                                      
2 74.00% 0.70% 76.00% 2.70% 81.00% 1.50%                                                                                                                      
3 78.00% 1.70% 80.00% 2.90% 82.00% 1.80%                                                                                                                      
4 79.00% 4.00% 84.00% 3.30% 83.00% 1.90%                                                                                                                      
5 84.00% 4.10% 85.00% 3.70% 86.00% 3.40%                                                                                                                      
6 87.00% 4.50% 86.00% 5.20% 88.00% 3.50%                                                                                                                      
7 90.00% 4.60% 87.00% 6.30% 91.00% 4.80%                                                                                                                      
8 94.00% 5.90% 88.00% 6.70% 93.00% 5.20%                                                                                                                      
9 96.00% 6.30% 89.00% 7.10% 94.00% 5.50%                                                                                                                      
10 97.00% 6.70% 93.00% 8.60% 95.00% 6.30%                                                                                                                      
                                                                                                                            
阈值 t_89 h_89 t_90 h_90 t_91 h_91                                                                                                                      
1 75.00% 1.10% 70.00% 3.10% 76.00% 0.40%                                                                                                                      
2 76.00% 1.20% 75.00% 3.90% 80.00% 0.80%                                                                                                                      
3 77.00% 1.60% 82.00% 4.50% 85.00% 1.60%                                                                                                                      
4 78.00% 2.10% 84.00% 5.30% 88.00% 1.80%                                                                                                                      
5 85.00% 2.90% 85.00% 5.60% 89.00% 2.20%                                                                                                                      
6 87.00% 3.00% 86.00% 7.60% 90.00% 2.30%                                                                                                                      
7 90.00% 3.50% 87.00% 8.10% 91.00% 2.40%                                                                                                                      
8 91.00% 3.80% 88.00% 8.20% 92.00% 2.90%                                                                                                                      
9 93.00% 4.00% 89.00% 8.30% 94.00% 4.60%                                                                                                                      
10 95.00% 5.90% 90.00% 8.80% 96.00% 5.30%                                                                                                                      
                                                                                                                            
阈值 t_92 h_92 t_93 h_93 t_94 h_94                                                                                                                      
1 76.00% 1.20% 81.00% 1.60% 75.00% 0.40%                                                                                                                      
2 77.00% 1.30% 83.00% 3.50% 77.00% 1.40%                                                                                                                      
3 78.00% 1.60% 84.00% 4.20% 78.00% 1.80%                                                                                                                      
4 81.00% 2.00% 89.00% 4.30% 80.00% 2.20%                                                                                                                      
5 82.00% 2.90% 90.00% 4.50% 81.00% 3.10%                                                                                                                      
6 84.00% 3.00% 91.00% 4.70% 83.00% 4.20%                                                                                                                      
7 85.00% 5.30% 92.00% 6.10% 86.00% 4.90%                                                                                                                      
8 86.00% 6.30% 95.00% 6.80% 91.00% 5.00%                                                                                                                      
